Product.Code,Labeler.Code,Substance.Name,Strength,DEA.Schedule,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed
0000,NA,NA,NA,NA,48.43,34.13,14.3
0001,27241,RISPERIDONE,1,Not Control,76361061.91,64814133.2,11546928.709999999
0002,23155,HYDRALAZINE HYDROCHLORIDE,25,Not Control,27777314.03,24261024.17,3516289.86
0003,10702,PROMETHAZINE HYDROCHLORIDE,25,Not Control,12678746.32,11668185.47,1010560.85
0004,68382,TOPIRAMATE,15,Not Control,12767977.55,11630173.33,1137804.22
0005,16729,SIMVASTATIN,20,Not Control,92320240.42999999,60523310.18,31796930.25
0006,16729,SIMVASTATIN,40,Not Control,169960524.46,167290652.62,2669871.84
0007,42806,OXYCODONE HYDROCHLORIDE,15,CII,59477538.31,58970105.65,507432.66
0008,68382,LAMOTRIGINE,100,Not Control,102771390.64,90886373.2,11885017.44
0009,24979,NIFEDIPINE,90,Not Control,23768221.71,23561021.04,207200.67
0009,24979,NIFEDIPINE,90,Not Control,23768221.71,23561021.04,207200.67
0010,57237,MIRTAZAPINE,45,Not Control,81586058.18,79964167.37,1621890.81
0011,10702,HYDROXYZINE HYDROCHLORIDE,25,Not Control,75630185.11,69824558.95,5805626.16
0012,65862,SERTRALINE HYDROCHLORIDE,50,Not Control,16420937.48,15915676.08,505261.4
0013,65862,SERTRALINE HYDROCHLORIDE,100,Not Control,15529034.73,14997512.8,531521.93
0014,00168,HYDROCORTISONE,5,Not Control,13842477.81,13548764.6,293713.21
0015,62011,IBUPROFEN,200,Not Control,10439319.96,9990817.870000001,448502.08999999997
0016,00168,HYDROCORTISONE,5,Not Control,12300011.530000001,11457252.89,842758.64
0017,51862,NORTRIPTYLINE HYDROCHLORIDE,50,Not Control,7130181.11,5041206.42,2088974.69
0018,00378,METOPROLOL TARTRATE,25,Not Control,24203428.06,22083183.49,2120244.57
0019,42794,LIOTHYRONINE SODIUM,25,Not Control,74552816.34,72306954.12,2245862.22
0020,13107,HYDROCODONE BITARTRATE; ACETAMINOPHEN,7.5; 325,CII,16122962.4,15440336.22,682626.18
0021,68382,VENLAFAXINE HYDROCHLORIDE,75,Not Control,46640500.11,43078610.45,3561889.66
0022,68382,ATENOLOL,25,Not Control,5319267.93,5211805.36,107462.57
0023,62011,ACETAMINOPHEN,500,Not Control,8231795.15,5450102.65,2781692.5
0024,00597,IPRATROPIUM BROMIDE; ALBUTEROL SULFATE,20; 120,Not Control,81698792.23,80657183.02,1041609.21
0025,61748,ETHOSUXIMIDE,250,Not Control,16671923.46,13382154.94,3289768.52
0026,24338,AMPHETAMINE SULFATE,10,CII,5689750.2,5560607.6,129142.6
0027,62107,ASPIRIN,81,Not Control,3590336.07,2192094.51,1398241.56
0028,00093,ENALAPRIL MALEATE,10,Not Control,5817549.24,4900649.69,916899.55
0029,65862,GLYBURIDE,2.5,Not Control,1542930.23,1526609.52,16320.71
0030,16729,METHYLDOPA,250,Not Control,115751444.45,91919899.36,23831545.09
0031,00517,CYANOCOBALAMIN,1000,Not Control,12891067.6,11507668.05,1383399.55
0032,62011,ACETAMINOPHEN,325,Not Control,11511553.540000001,9784179.96,1727373.58
0033,60505,PENTOXIFYLLINE,400,Not Control,11313026.07,11009723.26,303302.81
0034,16729,LETROZOLE,2.5,Not Control,1813826.46,1781192.16,32634.3
0035,52544,LEVONORGESTREL,52,Not Control,6378161.59,5849898.43,528263.16
0036,68382,VENLAFAXINE HYDROCHLORIDE,150,Not Control,9293439.04,8774686.44,518752.6
0037,43199,LABETALOL HYDROCHLORIDE,100,Not Control,15660145.48,15420597.92,239547.56
0038,60432,LACTULOSE,10,Not Control,25067417.47,24609308.43,458109.04
0039,00009,METHYLPREDNISOLONE SODIUM SUCCINATE,40,Not Control,12928252.34,12347318.99,580933.35
0039,00009,METHYLPREDNISOLONE SODIUM SUCCINATE,40,Not Control,12928252.34,12347318.99,580933.35
0040,46122,FEXOFENADINE HYDROCHLORIDE,180,Not Control,118208899.28,110574193.11,7634706.17
0041,57237,PENICILLIN V POTASSIUM,500,Not Control,13288262.33,11337523.45,1950738.8800000001
