Product.Code,Prescriptions,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed,Product.Name,DEA.Schedule
0000,234,700.17,641.51,58.66,"OMEGA-3 1,",Not Control
0001,2446579,322431800.04,297088222.85,25343577.19,AGGRENOX,Not Control
0002,820548,132481363.31,128945953.67,3535409.64,TRIAMCINOL,Not Control
0003,1855269,119055728.8,116700669.67,2355059.13,TRIAMCINOL,Not Control
0004,1970149,39827516.99,38306639.47,1520877.52,TRIAMCINOL,Not Control
0005,2210549,174611357.05,118060722.7,56550634.35,TRIAMCINOL,Not Control
0006,3578345,997819603.94,982575335.5,15244268.44,MOXEZA,Not Control
0007,3518287,1148471027.93,1126512981.06,21958046.87,CALCITRIOL,Not Control
0008,4954565,1052907131.77,1011776337.19,41130794.58,OXYCODONE,Not Control
0009,1577832,538945745.11,529420890.54,9524854.57,OXYCODONE,Not Control
0010,3453703,640648400.13,630085437.86,10562962.27,LABETALOL,Not Control
0011,2517148,617725041.82,602226080.28,15498961.540000001,PANTOPRAZO,Not Control
0012,2774121,58870060.45,58110004.61,760055.84,CORTEF,Not Control
0013,1672178,109255132.79,104716493.03,4538639.76,PIROXICAM,Not Control
0014,970460,30746377.62,30424819.37,321558.25,METHOTREXA,Not Control
0015,1756039,28750040.080000002,27832273.95,917766.13,HYDROCORTI,Not Control
0016,691910,46716336.83,45147372.3,1568964.53,CLINDAMYCI,Not Control
0017,1930027,30648966.41,28928258.31,1720708.1,PREDNISONE,Not Control
0018,5473738,103667677.41,100847730.26,2819947.15,PREDNISONE,Not Control
0019,2535784,278651488.68,273718671.28000003,4932817.4,PREDNISONE,Not Control
0020,799807,59424862.800000004,58404046.36,1020816.4400000001,LITHIUM CA,Not Control
0021,699597,192614288.14,188875335.24,3738952.9,LITHIUM CA,Not Control
0022,673182,45123336.31,44644859.27,478477.04,ORPHENADRI,Not Control
0023,347192,19879905.03,14796126.66,5083778.37,SIMVASTATI,Not Control
0024,1300940,317928976.35,315094192.13,2834784.22,COMBIVENT,Not Control
0025,443987,42059056.94,36909729.83,5149327.11,LISINOPRIL,Not Control
0026,6925022,21302008.64,20990677.03,311331.61,ENALAPRIL,Not Control
0027,636014,14840877.76,14420610.46,420267.3,HYDRALAZIN,Not Control
0028,1511552,23285125.74,19103868.51,4181257.23,NADOLOL,Not Control
0029,712573,17014462.23,16907106.13,107356.1,ENALAPRIL,Not Control
0030,1386011,439330246.02,371182263.9,68147982.12,FENTANYL C,Not Control
0031,1646858,30528306.22,29105097.29,1423208.93,MIRTAZAPIN,Not Control
0032,1781287,35894146.92,32017645.01,3876501.91,STROMECTOL,Not Control
0033,1539141,43064992.08,41847167.01,1217825.07,PENTOXIFYL,Not Control
0034,232588,4052534.81,3986002.83,66531.98,TIZANIDINE,Not Control
0035,893530,17014070.67,16408054.21,606016.46,KLOR-CON,Not Control
0036,684701,14610151.7,14004349.52,605802.18,RISPERIDON,Not Control
0037,493359,15603802.65,15487771.14,116031.51,LACTULOSE,Not Control
0038,822581,45689228.9,43138424.8,2550804.1,OXYBUTYNIN,Not Control
0039,561344,34936498.06,32698195.43,2238302.63,LAMOTRIGIN,Not Control
0040,945810,336161041,314708431.92,21452609.08,BETAMETHAS,Not Control
0041,1050776,37758901.82,34464109.39,3294792.43,KLOR-CON 1,Not Control
0042,2561940,62009671.08,52319568.84,9690102.24,ALLOPURINO,Not Control
0043,187318,22771974.06,20067272.35,2704701.71,NUTROPIN A,Not Control
0044,1840179,157467312.69,152473726.1,4993586.59,REBIF,Not Control
0045,460340,20519804.44,20150157.2,369647.24,IPRATROPIU,Not Control
0046,340074,24228197.63,23920237.01,307960.62,IPRATROPIU,Not Control
0047,1399313,19482490.54,16648726.77,2833763.77,SOLU-MEDRO,Not Control
0048,802089,18700999.3,18429175.87,271823.43,SODIUM CHL,Not Control
0049,1512328,191629834.56,150623360.97,41006473.59,TRIAMCINOL,Not Control
0050,671005,43648571.76,39331547.03,4317024.73,MELOXICAM,Not Control
0051,1732447,167322263.59,132398560.66,34923702.93,CARVEDILOL,Not Control
0052,1172001,16754144.18,15778418.89,975725.2899999999,CITALOPRAM,Not Control
0053,2254310,137736267.34,115255396.39,22480870.95,BUSPIRONE,Not Control
0054,2002020,21181510.83,20599069.85,582440.98,BUSPIRONE,Not Control
0055,1454860,31271147.48,30886702.38,384445.1,TRIAMCINOL,Not Control
0056,1430932,56941003.48,53710512.42,3230491.06,OXYCODONE,Not Control
0057,827921,47929267.3,45152957.9,2776309.4,KLOR-CON M,Not Control
0058,2977838,19612946.86,19035010.55,577936.31,KLOR-CON M,Not Control
0059,871220,20045310.05,19839308.23,206001.82,DIPHENHYDR,Not Control
0060,689789,288059009.62,245640522.22,42418487.4,FLUOCINOLO,Not Control
0061,258060,269829141.05,241366360.22,28462780.830000002,METOCLOPRO,Not Control
0062,361249,26063459.95,25702459.91,361000.04,METOCLOPRA,Not Control
0063,1007625,31433434.38,31124474.38,308960,CLONAZEPAM,Not Control
0064,1974399,115105208.97,104368438.21,10736770.76,CLONAZEPAM,Not Control
0065,3968341,65068576.64,63963556.23,1105020.41,CLONAZEPAM,Not Control
0066,210428,5113502.96,5000068.16,113434.8,ALPRAZOLAM,CIV
0067,450253,2871245.94,2814791.67,56454.27,SIMVASTATI,Not Control
0068,604779,7534447.97,7378399.56,156048.41,DEXTROAMPH,Not Control
0069,54951,592011.52,579538.37,12473.15,INDAPAMIDE,Not Control
0070,953988,95382247.03,94278691.51,1103555.52,ERYTHROMYC,Not Control
0071,798430,29610522.82,29253032.28,357490.54,POTASSIUM,Not Control
0072,470850,45060230.81,44688205.38,372025.43,LOVASTATIN,Not Control
0073,816585,91782816.54,90480019.37,1302797.17,ZOLPIDEM T,Not Control
0074,1503321,125396234.64,121387891.03,4008343.61,ZOLPIDEM T,Not Control
