Labeler.Code,Product.Code,Product,Strength,DEA.Schedule,Opiate,Units.Reimbursed,Number.of.Prescriptions
24208,0347,ALBUTEROL SULFATE,5,,,854157.7,30354
00065,0396,CYCLOPENTOLATE HYDROCHLORIDE,10,,,121435,14336
00143,1227,DICYCLOMINE HYDROCHLORIDE,20,,,2103349.36,29734
00172,2908,FUROSEMIDE,20,,,34352681.1,929426
00378,2610,AMITRIPTYLINE HYDROCHLORIDE,10,,,14481270,296615
51672,1272,NYSTATIN AND TRIAMCINOLONE ACETONIDE,100000; 1,,,1160753.03,37178
00904,7809,CYCLOBENZAPRINE HYDROCHLORIDE,10,,,897789,19062
00456,0462,"THYROID, PORCINE",180,,,544489,13205
08880,9505,SILVER SULFADIAZINE,10,,,9176131.8,74126
59762,3741,MEDROXYPROGESTERONE ACETATE,5,,,2218617.012,75865
00049,4910,SERTRALINE HYDROCHLORIDE,100,,,152756220.182,4269524
00068,0508,RIFAMPIN,300,,,373950.36,9292
00185,4350,ISONIAZID,300,,,1212940.26,34480
45802,0004,HYDROCORTISONE,25,,,2295315.492,61231
54838,0136,BROMPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,1; 15; 5,,,663706,4324
53489,0479,SULINDAC,200,,,1089393,19269
00009,0012,HYDROCORTISONE,5,,,3808634.21,44335
00009,0064,MEDROXYPROGESTERONE ACETATE,2.5,,,453046,11937
00054,4728,PREDNISONE,5,,,7685576.002,172668
63323,0113,PENTAMIDINE ISETHIONATE,300,,,50846,442
00185,0063,CLONAZEPAM,0.5,CIV,,8310393.876,154783
00169,0084,REPAGLINIDE,2,,,23446770,213155
24385,0432,PSEUDOEPHEDRINE HCL,30,,,506651,9743
24208,0590,TROPICAMIDE,5,,,3672,361
51672,1273,FLUOCINONIDE,0.5,,,848917.76,13319
00378,0412,FLUVOXAMINE MALEATE,50,,,2552007,44627
51672,2013,HYDROCORTISONE,1,,,1529937,42472
00168,0258,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,10; .5,,,4131467.41,109239
00472,0155,NYSTATIN AND TRIAMCINOLONE ACETONIDE,100000; 1,,,1768631.336,51967
00093,0755,DIFLUNISAL,500,,,2511071.666,56285
24385,0060,BACITRACIN ZINC,500,,,569813,16967
00264,1510,DEXTROSE,50,,,4996906,8050
00074,6215,DIVALPROEX SODIUM,500,,,314334362.734,3871915
00264,2101,WATER,1,,,161087122.41099998,13610
00093,7172,ETODOLAC,500,,,813897,16085
00781,1030,TRIFLUOPERAZINE HYDROCHLORIDE,1,,,1060554.5,19486
00781,1452,GLIPIZIDE,5,,,25072254.5,437450
00603,0648,CAPSICUM OLEORESIN,0.25,,,829618,8981
52544,0693,DILTIAZEM HYDROCHLORIDE,300,,,1678897.92,28877
00054,4184,DEXAMETHASONE,4,,,2050043.982,59132
00228,2551,DICLOFENAC SODIUM,75,,,4176609,73147
00185,0157,FLUVOXAMINE MALEATE,100,,,7953325,137820
00172,2089,HYDROCHLOROTHIAZIDE,50,,,12472683.354,349251
00378,4415,FLURAZEPAM HYDROCHLORIDE,15,CIV,,3515324,106444
00009,3169,ALPROSTADIL,500,,,154.1,89
00456,0458,"THYROID, PORCINE",30,,,1343830,27799
53489,0146,SULFAMETHOXAZOLE AND TRIMETHOPRIM,800; 160,,,14789258.6,706837
00555,0887,ESTRADIOL,2,,,1493162,41402
17478,0284,GENTAMICIN SULFATE,3,,,343555.452,65982
00049,3450,FLUCONAZOLE,1400,,,2016635.9,47516
63323,0123,METHOTREXATE SODIUM,25,,,17356.6,3363
00069,1520,AMLODIPINE BESYLATE,2.5,,,28052824.456,775244
51079,0937,TARAZOSIN,2,,,217182,6787
00025,1021,SPIRONOLACTONE AND HYDROCHLOROTHIAZIDE,50; 50,,,563386.5,13807
53489,0328,SPIRONOLACTONE,50,,,4662961,90053
00069,1530,AMLODIPINE BESYLATE,5,,,195362260.228,5295379
00299,5500,FLUOCINOLONE ACETONIDE,NA,,,3910692.24,31068
00002,4117,OLANZAPINE,10,,,165009126.444,3631077
00904,2613,ALLOPURINOL,100,,,579338.12,12424
63304,0523,ENALAPRIL MALEATE,5,,,5773883.4,135473
00378,2650,AMITRIPTYLINE HYDROCHLORIDE,50,,,21863444.4,471701
00641,2460,HEPARIN SODIUM,5000,,,537286,27665
00023,0798,CARBOXYMETHYLCELLULOSE SODIUM,5,,,752956.9,39382
00093,1060,SOTALOL HYDROCHLORIDE,120,,,521141,8445
53489,0510,TRAZODONE HYDROCHLORIDE,50,,,4905502.002,119132
51672,4036,ETODOLAC,500,,,22369,427
50383,0050,CIMETIDINE HYDROCHLORIDE ORAL SOLUTION,300,,,64405,255
00603,5166,PHENOBARBITAL,32.4,CIV,,19022999,222544
61314,0628,POLYMYXIN B SULFATE AND TRIMETHOPRIM,10000; 1,,,1973914,197758
49348,0083,"DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",20; 400; 10,,,1140696,18356
00591,5620,DIAZEPAM,10,CIV,,2617559,39733
00078,0314,VALSARTAN AND HYDROCHLOROTHIAZIDE,80; 12.5,,,12364086.46,327452
00998,0206,PILOCARPINE HYDROCHLORIDE,40,,,17837,934
00378,0210,CHLORPROPAMIDE,250,,,1646228,27353
63323,0013,THIAMINE HYDROCHLORIDE,100,,,3911,368
63323,0013,THIAMINE HYDROCHLORIDE,100,,,3911,368
63323,0013,THIAMINE HYDROCHLORIDE,100,,,3911,368
00299,5770,DESONIDE,0.5,,,155850,3592
00904,5058,BISACODYL,10,,,263481,15642
00143,1787,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",50; 325; 40,,,6333191,132987
63653,1171,CLOPIDOGREL BISULFATE,75,,,117359345.77,3756121
50111,0456,OXYBUTYNIN CHLORIDE,5,,,34177810.52,506626
00310,0130,LISINOPRIL,5,,,45036526.9,1091597
00056,0168,WARFARIN SODIUM,4,,,11457956.12,470557
00185,1047,QUINIDINE SULFATE,300,,,244541,2844
00009,0055,ALPRAZOLAM,0.5,CIV,,4870285.02,59304
00781,2201,TEMAZEPAM,15,CIV,,3845097.2,138197
50242,0100,DORNASE ALFA,1,,,4346282.094,50793
00054,3545,MEPERIDINE HYDROCHLORIDE,50,CII,,1096987.588,21352
24208,0830,"NEOMYCIN SULFATE, POLYMYXIN B SULFATE AND DEXAMETHASONE",3.5; 10000; 1,,,205718.75,39410
59762,3740,MEDROXYPROGESTERONE ACETATE,2.5,,,7207909.699,197350
00378,0143,INDOMETHACIN,25,,,4931167.016,87669
00088,1090,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,60; 120,,,32950271.948,753822
00049,2750,DOXAZOSIN MESYLATE,1,,,1906798,49730
51672,1253,FLUOCINONIDE,0.5,,,9883571.56,178096
00378,3125,DOXEPIN HYDROCHLORIDE,25,,,9929490,192129
00069,3060,AZITHROMYCIN DIHYDRATE,250,,,28321482.813,4589395
00641,1496,PROMETHAZINE HYDROCHLORIDE,50,,,314533.94,22193
00378,0421,METHYLDOPA,500,,,3783295.045,49214
00555,0286,DIPYRIDAMOLE,75,,,7179372.12,92530
00781,1046,PERPHENAZINE,2,,,2950861,47563
00054,3486,LACTULOSE,10,,,24402794.416,30119
58468,0021,RENAGEL,800,,,52183738.452,210730
54838,0135,DIPHENHYDRAMINE HYDROCHLORIDE,12.5,,,5983711,36327
00069,2660,NIFEDIPINE,60,,,8037746.776,206706
00555,0323,HYDROXYZINE PAMOATE,25,,,17216783.44,304035
00603,2540,BUTALBITAL AND ACETAMINOPHEN,50; 325,,,1122964,26318
63323,0965,POTASSIUM CHLORIDE,2,,,384556.806,4032
00469,5201,TACROLIMUS,0.3,,,2681142.6,60828
00007,4893,ROPINIROLE,2,,,2489822,20861
00517,4620,GLYCOPYRROLATE,0.2,,,823996,2811
00378,1650,NITROFURANTOIN (MACROCRYSTALS),50,,,2687679,72857
00013,5301,RIFABUTIN,150,,,580192,11781
61570,0073,ESTERIFIED ESTROGENS,0.625,,,2171167,56363
00904,5065,GUAIFENESIN AND CODEINE PHOSPHATE,100; 10,CV,YES,1102760.36,5096
00378,0277,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,10; 27.98,CIV,,3167919,49955
50111,0470,PROPRANOLOL HYDROCHLORIDE,60,,,2583281,36214
00904,0428,DOXYCYCLINE HYCLATE,100,,,148278,6637
49884,0085,DEXAMETHASONE,0.75,,,312264.2,13329
00003,2570,AZTREONAM,2,,,8782.6,652
00065,0654,CIPROFLOXACIN HYDROCHLORIDE,3,,,215173.615,54297
52544,0690,DILTIAZEM HYDROCHLORIDE,120,,,1524639,18004
00186,0606,OMEPRAZOLE MAGNESIUM,10,,,12143915.038,274807
50458,0290,ITRACONAZOLE,100,,,5465482,122799
00378,4028,DOXAZOSIN MESYLATE,8,,,80280,2245
37205,0285,"PIPERONYL BUTOXIDE, PYRETHRUM EXTRACT",4; .33,,,92448,1144
00832,1082,BENZTROPINE MESYLATE,2,,,9547750,186825
51079,0883,CLONAZEPAM,2,CIV,,69286,1474
00088,2162,LEFLUNOMIDE,100,,,4e3,1182
00378,0222,CHLORTHALIDONE,25,,,1601898.8,46528
00126,0138,SODIUM FLUORIDE,2,,,32500,64
00065,0656,CIPROFLOXACIN HYDROCHLORIDE,3,,,2856736.287,566176
00054,4180,DEXAMETHASONE,0.75,,,191684,7947
00093,0734,METOPROLOL TARTRATE,100,,,7089279.998,115726
00472,1738,MICONAZOLE NITRATE,200,,,47793,14440
00338,0049,SODIUM CHLORIDE,9,,,217796070.114,147151
60951,0602,OXYCODONE AND ACETAMINOPHEN,5; 325,CII,YES,35075384.06,648081
54838,0507,METAPROTERENOL SULFATE,10,,,2021388,10865
00904,2151,ISOSORBIDE DINITRATE,10,,,1069421,12518
63304,0692,CLINDAMYCIN HYDROCHLORIDE,150,,,3876,93
51079,0418,TEMAZEPAM,15,CIV,,173688,8110
00228,2672,SPIRONOLACTONE,50,,,6549058.934,131345
24208,0299,LOTEPREDNOL ETABONATE,5,,,912372.166,109317
00781,1048,PERPHENAZINE,8,,,3971874.88,57294
00781,1507,ATENOLOL,100,,,16385277,412264
00185,0774,BISOPROLOL FUMARATE,10,,,250306.1,6253
00093,8940,ACYCLOVIR,200,,,309634,5820
00173,0562,NARATRIPTAN HYDROCHLORIDE,2.5,,,724539,58143
00517,9702,DROPERIDOL,2.5,,,23747.65,1816
60505,0094,DOXAZOSIN,2,,,3796287.758,94768
37205,0708,ASPIRIN,81,,,26579,764
50419,0106,SOTALOL HYDROCHLORIDE,160,,,226664.45,3632
00378,0477,DIAZEPAM,10,CIV,,33771108.43,523586
00172,5728,FAMOTIDINE,20,,,12492663.02,273717
37205,0530,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, SIMETHICONE",200; 200; 20,,,3550292,6518
37205,0643,IBUPROFEN,100,,,731858,4897
00143,2125,CHLOROQUINE PHOSPHATE,500,,,13301,831
00173,0696,FLUTICASONE PROPIONATE AND SALMETEROL,50; 250,,,22657421.382,370192
00615,3512,OXYBUTYNIN CHLORIDE,5,,,421420,6908
00069,3080,AZITHROMYCIN DIHYDRATE,600,,,1524151,154888
51079,0588,THIOTHIXENE,5,,,174226,3900
00024,1535,HEXACHLOROPHENE,30,,,20963402.761,72449
00004,0261,MYCOPHENOLATE MOFETIL,200,,,742341.534,4303
51079,0201,METHYLDOPA,500,,,70164,1062
00143,1292,METHOCARBAMOL,750,,,5885802.63,87516
00904,5307,DIPHENHYDRAMINE HCL,50,,,988369,21995
00591,0348,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,75; 50,,,602,20
00049,2140,MECLIZINE HYDROCHLORIDE,50,,,40805,608
49884,0121,HYDRALAZINE HYDROCHLORIDE,100,,,636583.2,7076
00093,2204,METOCLOPRAMIDE,5,,,15160530.88,166257
00052,0110,MIRTAZAPINE,45,,,1008516,33766
51672,1259,CLOBETASOL PROPIONATE,0.5,,,2677719,47648
00378,0327,HALOPERIDOL,5,,,24814208.422,466833
00054,2531,LITHIUM CARBONATE,600,,,828444,17760
24385,0647,IBUPROFEN,200,,,92774,1387
49348,0061,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE",650; 30; 12.5,,,158371,1820
00573,0150,IBUPROFEN,200,,,3274186,42872
24385,0379,DIPHENHYDRAMINE HYDROCHLORIDE,12.5,,,2307760,13845
00054,4741,PREDNISONE,1,,,22656284.528,222910
00023,9155,TAZAROTENE,0.5,,,264564,6762
00093,8344,GLYBURIDE,5,,,22581359.06,281690
00378,3022,CAPTOPRIL,100,,,1128650.802,12814
00023,0042,TAZAROTENE,1,,,1119669,21221
16837,0872,FAMOTIDINE,10,,,4961384.35,70287
00009,3381,CLINDAMYCIN PHOSPHATE,6,,,76865,145
00054,4650,OXYCODONE AND ACETAMINOPHEN,5; 325,CII,YES,68008251.166,1217844
00406,1170,NALTREXONE HYDROCHLORIDE,50,,,187302,5527
51672,4005,CARBAMAZEPINE,200,,,50778632.728,467176
00456,0457,"THYROID, PORCINE",15,,,555640,10872
