State,Opiate,Number.of.Prescriptions
AK,,80967
AK,YES,136
AL,,741809
AL,YES,10537
AR,,326261
AR,YES,853
CA,,3866747
CA,YES,32978
CO,,296321
CO,YES,573
CT,,611266
CT,YES,4287
DC,,98269
DC,YES,629
DE,,53426
DE,YES,600
FL,,2369683
FL,YES,5024
GA,,1141506
GA,YES,8232
HI,,90941
HI,YES,1674
IA,,122903
IA,YES,713
ID,,134384
ID,YES,531
IL,,1769901
IL,YES,6440
IN,,960339
IN,YES,9473
KS,,233943
KS,YES,177
KY,,818211
KY,YES,5028
LA,,971448
LA,YES,2954
MA,,1799001
MA,YES,3688
MD,,361605
MD,YES,4103
ME,,363306
ME,YES,2823
MI,,738572
MI,YES,589
MN,,427415
MN,YES,4845
MO,,1048964
MO,YES,7028
MS,,133055
MS,YES,351
MT,,90815
MT,YES,1112
NC,,679215
NC,YES,6791
ND,,80286
ND,YES,507
NE,,295806
NE,YES,2755
NH,,209218
NH,YES,2926
NJ,,1017961
NJ,YES,9200
NM,,98227
NM,YES,2049
NV,,89746
NV,YES,1086
NY,,3988087
NY,YES,5726
OH,,1935643
OH,YES,7356
OK,,332405
OK,YES,438
OR,,346373
OR,YES,1792
PA,,1340888
PA,YES,7006
RI,,201646
RI,YES,973
SC,,593769
SC,YES,4956
SD,,80454
SD,YES,211
TN,,1142038
TX,,1832496
TX,YES,27090
UT,,196851
UT,YES,2889
VA,,786383
VA,YES,10400
VT,,122553
VT,YES,1321
WA,,762975
WA,YES,3041
WI,,819350
WI,YES,12293
WV,,407694
WV,YES,575
WY,,39361
WY,YES,144
XX,,24444675
XX,YES,160797
