State,Narcotic,NonNarcotic,Year,Percentage,From.Yearly.Mean,Yearly.Mean
AK,120,3777,1991,3.079291762894534,1.5615790949382895,1.5177126679562447
AL,333,18704,1991,1.7492251930451226,0.23151252508887787,1.5177126679562447
AR,497,12096,1991,3.9466370205669814,2.4289243526107365,1.5177126679562447
CA,4107,331662,1991,1.2231623526889022,-0.29455031526734254,1.5177126679562447
CO,28,15447,1991,0.18093699515347336,-1.3367756728027713,1.5177126679562447
CT,1306,16619,1991,7.285913528591354,5.768200860635109,1.5177126679562447
DC,13,7838,1991,0.16558400203795695,-1.3521286659182878,1.5177126679562447
DE,15,3909,1991,0.382262996941896,-1.1354496710143487,1.5177126679562447
FL,2131,75349,1991,2.7503871966959217,1.232674528739677,1.5177126679562447
GA,1060,43520,1991,2.3777478689995513,0.8600352010433066,1.5177126679562447
HI,435,5789,1991,6.989074550128535,5.471361882172291,1.5177126679562447
IA,249,17373,1991,1.4130064691862445,-0.1047061987700002,1.5177126679562447
ID,186,3961,1991,4.485170002411381,2.967457334455137,1.5177126679562447
IL,2171,78286,1991,2.6983357569882047,1.18062308903196,1.5177126679562447
IN,483,66076,1991,0.7256719602157484,-0.7920407077404963,1.5177126679562447
KS,205,8512,1991,2.3517265114144776,0.8340138434582329,1.5177126679562447
KY,229,77920,1991,0.2930299811897785,-1.2246826867664662,1.5177126679562447
LA,814,44151,1991,1.8102968975870122,0.29258422963076747,1.5177126679562447
MA,914,71097,1991,1.2692505311688493,-0.24846213678739537,1.5177126679562447
MD,284,28321,1991,0.9928334207306415,-0.5248792472256032,1.5177126679562447
ME,365,22235,1991,1.6150442477876108,0.09733157983136609,1.5177126679562447
MI,437,91633,1991,0.47463886173563596,-1.0430738062206086,1.5177126679562447
MN,435,34527,1991,1.2442079972541618,-0.27350467070208295,1.5177126679562447
MO,290,28175,1991,1.0187950114175301,-0.49891765653871456,1.5177126679562447
MS,160,21975,1991,0.7228371357578496,-0.7948755321983951,1.5177126679562447
MT,212,4797,1991,4.23238171291675,2.7146690449605053,1.5177126679562447
NC,875,33405,1991,2.5525087514585767,1.034796083502332,1.5177126679562447
NH,139,8625,1991,1.586033774532177,0.06832110657593238,1.5177126679562447
NJ,501,51446,1991,0.9644445300017325,-0.5532681379545122,1.5177126679562447
NM,81,7453,1991,1.0751260950358377,-0.44258657292040704,1.5177126679562447
NV,107,2855,1991,3.6124240378122887,2.094711369856044,1.5177126679562447
NY,1905,114985,1991,1.6297373599110276,0.11202469195478293,1.5177126679562447
OH,1192,131219,1991,0.9002273225034173,-0.6174853454528274,1.5177126679562447
OK,62,7469,1991,0.823263842783163,-0.6944488251730817,1.5177126679562447
OR,556,18623,1991,2.8990041190885862,1.3812914511323415,1.5177126679562447
PA,1020,125757,1991,0.8045623417496865,-0.7131503262065582,1.5177126679562447
RI,82,8004,1991,1.0140984417511747,-0.50361422620507,1.5177126679562447
SC,332,13576,1991,2.387115329306874,0.8694026613506292,1.5177126679562447
TN,618,64092,1991,0.9550301344459898,-0.5626825335102549,1.5177126679562447
TX,102,45588,1991,0.2232435981615233,-1.2944690697947214,1.5177126679562447
UT,293,11953,1991,2.3926179977135393,0.8749053297572946,1.5177126679562447
VA,653,47793,1991,1.3478924988647154,-0.1698201690915293,1.5177126679562447
VT,284,5147,1991,5.229239550727306,3.7115268827710617,1.5177126679562447
WA,1617,40911,1991,3.8022009029345374,2.2844882349782925,1.5177126679562447
WI,383,31085,1991,1.2171094445150628,-0.30060322344118195,1.5177126679562447
WV,407,29646,1991,1.3542741157288791,-0.16343855222736559,1.5177126679562447
WY,127,2191,1991,5.47886108714409,3.961148419187846,1.5177126679562447
XX,31270,1963261,1991,1.567787113862858,0.05007444590661336,1.5177126679562447
AK,82,5722,1992,1.4128187456926258,-0.15386049505094768,1.5666792407435735
AL,587,34517,1992,1.6721741112123976,0.10549487046882411,1.5666792407435735
AR,518,13775,1992,3.6241516826418527,2.0574724418982795,1.5666792407435735
CA,4316,374069,1992,1.1406371817064629,-0.42604205903711057,1.5666792407435735
CO,202,22059,1992,0.9074165581061049,-0.6592626826374686,1.5666792407435735
CT,1567,23991,1992,6.13115267235308,4.564473431609507,1.5666792407435735
DC,33,8530,1992,0.38537895597337385,-1.1813002847701997,1.5666792407435735
DE,111,7110,1992,1.5371832156211052,-0.029496025122468295,1.5666792407435735
FL,2391,93723,1992,2.4876708908171548,0.9209916500735813,1.5666792407435735
GA,928,58053,1992,1.573388040216341,0.006708799472767479,1.5666792407435735
HI,335,7970,1992,4.0337146297411195,2.4670353889975463,1.5666792407435735
IA,378,23805,1992,1.5630815035355416,-0.0035977372080318037,1.5666792407435735
ID,250,6452,1992,3.7302297821545807,2.1635505414110074,1.5666792407435735
IL,4326,200972,1992,2.1071807811084375,0.5405015403648641,1.5666792407435735
IN,450,87641,1992,0.5108353861347924,-1.055843854608781,1.5666792407435735
KS,404,17171,1992,2.2987197724039827,0.7320405316604093,1.5666792407435735
KY,406,103266,1992,0.391619723744116,-1.1750595169994575,1.5666792407435735
LA,1211,45331,1992,2.6019509260452924,1.035271685301719,1.5666792407435735
MA,1795,85079,1992,2.0662108340815433,0.4995315933379698,1.5666792407435735
MD,538,57628,1992,0.9249389677818657,-0.6417402729617078,1.5666792407435735
ME,276,24217,1992,1.1268525701220757,-0.4398266706214977,1.5666792407435735
MI,728,162831,1992,0.4450993219572142,-1.1215799187863593,1.5666792407435735
MN,578,45160,1992,1.2637194455376275,-0.30295979520594596,1.5666792407435735
