State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
AL,1991,333,18704,1.7492251930451226,0.23151252508887787
AL,1992,587,34517,1.6721741112123976,0.10549487046882411
AL,1993,815,45172,1.7722399808641573,0.32636075543446497
AL,1994,1042,51196,1.9947164899115588,0.05752548509195421
AL,1995,1414,60185,2.2954918099319794,0.728225990567579
AL,1996,2490,67652,3.549941547147216,1.444217786479177
AL,1997,5497,76018,6.74354413298166,3.437376667978575
AL,1998,7856,109391,6.7003846580296305,3.8569055533083563
AL,1999,8813,146973,5.657119381715944,2.709669373725869
AL,2000,10384,163866,5.959253945480631,2.344341449984358
AL,2001,15117,203199,6.924366514593524,2.519370559180646
AL,2002,28690,260556,9.918892568955146,2.874376560669903
AL,2003,48426,300208,13.89021151121233,5.5711017112706305
AL,2004,58012,318702,15.39948077321257,6.376746167968262
AL,2005,61621,317149,16.268711883200886,4.695301514910396
AL,2006,32403,208976,13.424117259579335,-0.17033064076016835
AL,2007,28026,160943,14.831004027115558,-4.030694596145391
AL,2008,52244,247271,17.442865966646078,-1.8069176393751185
AL,2009,78309,367342,17.57182189650646,0.0869168730163068
AL,2010,102014,434967,18.99769265579229,0.3386115352536798
AL,2011,127898,496505,20.483245596193484,0.017260036978854032
AL,2012,131071,524657,19.98862333162531,-0.9665100332545613
AL,2013,124079,555822,18.24956868720593,-1.914205709376695
AL,2014,117667,623438,15.877237368524028,-2.0699447408732645
AL,2015,105490,687724,13.29905927025998,-3.6349480415786264
AL,2016,106395,718929,12.891300870930689,-3.159331743711121
AL,2017,23905,178076,11.835271634460668,-3.065213888327891
