State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
AR,1991,497,12096,3.9466370205669814,2.4289243526107365
AR,1992,518,13775,3.6241516826418527,2.0574724418982795
AR,1993,479,16872,2.760647801279465,1.3147685758497727
AR,1994,889,20173,4.220871712088121,2.283680707268516
AR,1995,932,24887,3.609744761609667,2.0424789422452667
AR,1996,1297,28262,4.387834500490544,2.282110739822505
AR,1997,1678,33081,4.827526683736586,1.521359218733501
AR,1998,1261,38285,3.188691650230112,0.34521254550883773
AR,1999,1645,48742,3.264730982197789,0.31728097420771384
AR,2000,2561,72519,3.4110282365476827,-0.20388425894859052
AR,2001,2978,86874,3.3143391354672125,-1.0906568199456657
AR,2002,7821,119458,6.1447685792628794,-0.899747429022363
AR,2003,11105,138373,7.429186903758413,-0.889922896183287
AR,2004,10418,122723,7.824787255616227,-1.1979473496280812
AR,2005,17467,136552,11.340808601536175,-0.23260176675431588
AR,2006,20147,111000,15.362150868872334,1.7677029685328307
AR,2007,24739,115884,17.592427981197957,-1.2692706420629918
AR,2008,30532,139015,18.00798598618672,-1.2417976198344753
AR,2009,36447,185555,16.41741966288592,-1.067485360604234
AR,2010,40042,212760,15.839273423469752,-2.819807697068857
AR,2011,50680,241753,17.33046543994693,-3.1355201192676994
AR,2012,54633,261669,17.27241686742417,-3.6827164974557007
AR,2013,55735,278772,16.661833683600044,-3.501940712982581
AR,2014,78039,465861,14.348041919470491,-3.5991401899268016
AR,2015,75176,407571,15.57254628200693,-1.3614610298316752
AR,2016,82380,439878,15.77381294302816,-0.27681967161364973
AR,2017,22547,126230,15.154896254125303,0.2544107313367441
