State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
CO,1991,28,15447,0.18093699515347336,-1.3367756728027713,1.5177126679562447
CO,1992,202,22059,0.9074165581061049,-0.6592626826374686,1.5666792407435735
CO,1993,247,25962,0.9424243580449463,-0.5034548673847461,1.4458792254296924
CO,1994,254,20820,1.2052766442061307,-0.7319143606134739,1.9371910048196046
CO,1995,163,16945,0.9527706336216974,-0.614495185742703,1.5672658193644005
CO,1996,346,24040,1.418846879357008,-0.6868768813110311,2.105723760668039
CO,1997,378,18243,2.0299661672305462,-1.276201297772539,3.3061674650030852
CO,1998,809,47285,1.682122510084418,-1.1613565946368563,2.843479104721274
CO,1999,3137,62463,4.782012195121951,1.8345621871318762,2.947450007990075
CO,2000,3225,48910,6.185863623285701,2.5709511277894275,3.6149124954962732
CO,2001,4253,57471,6.890350592962219,2.4853546375493405,4.404995955412878
CO,2002,10988,96832,10.191059172695233,3.146543164409991,7.0445160082852425
CO,2003,20905,131704,13.698405729675184,5.379295929733484,8.3191097999417
CO,2004,29213,163267,15.177161263507896,6.1544266582635885,9.022734605244308
CO,2005,34627,185003,15.76606110276374,4.192650734473249,11.57341036829049
CO,2006,25300,109130,18.82020382355129,5.225755923211786,13.594447900339503
CO,2007,30389,97675,23.72954147926037,4.86784285599942,18.86169862326095
CO,2008,41422,104375,28.410735474666833,9.160951868645636,19.249783606021197
CO,2009,58113,171476,25.311752740767197,7.826847717277044,17.484905023490153
CO,2010,95038,219282,30.23606515652838,11.57698403598977,18.65908112053861
CO,2011,140962,271917,34.14123750541926,13.675251946204632,20.46598555921463
CO,2012,176512,319252,35.604037404894264,14.648904040014394,20.95513336487987
CO,2013,206065,396659,34.18894883893789,14.025174442355265,20.163774396582625
CO,2014,317278,855721,27.0484459066035,9.101263797206208,17.947182109397293
CO,2015,346120,994806,25.81201348918583,8.878006177347224,16.934007311838606
CO,2016,391733,1133222,25.688167847575833,9.637535232934024,16.05063261464181
CO,2017,82038,257729,24.145370209584804,9.244884686796246,14.900485522788559
