State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
CT,1991,1306,16619,7.285913528591354,5.768200860635109,1.5177126679562447
CT,1992,1567,23991,6.13115267235308,4.564473431609507,1.5666792407435735
CT,1993,2356,34510,6.390712309445017,4.9448330840153245,1.4458792254296924
CT,1994,2957,43099,6.420444676046552,4.483253671226947,1.9371910048196046
CT,1995,3338,59428,5.31816588598923,3.7509000666248298,1.5672658193644005
CT,1996,3308,51572,6.0276967930029155,3.9219730323348765,2.105723760668039
CT,1997,4372,57009,7.122725273293039,3.8165578082899536,3.3061674650030852
CT,1998,4826,79267,5.738884330443676,2.8954052257224014,2.843479104721274
CT,1999,6844,107442,5.988485028787428,3.041035020797353,2.947450007990075
CT,2000,6955,109710,5.961513735910513,2.34660124041424,3.6149124954962732
CT,2001,9596,119140,7.454014417101665,3.049018461688787,4.404995955412878
CT,2002,17026,136635,11.080235062898199,4.035719054612956,7.0445160082852425
CT,2003,26306,144475,15.403352831989507,7.084243032047807,8.3191097999417
CT,2004,30489,153424,16.5779471815478,7.555212576303491,9.022734605244308
CT,2005,41022,165515,19.86181652682086,8.28840615853037,11.57341036829049
CT,2006,18718,61118,23.44556340498021,9.851115504640706,13.594447900339503
CT,2007,23869,61845,27.847259490864968,8.985560867604018,18.86169862326095
CT,2008,62071,173825,26.31286668701462,7.063083080993422,19.249783606021197
CT,2009,84824,305293,21.74322062355652,4.258315600066368,17.484905023490153
CT,2010,136538,428372,24.169867766546886,5.5107866460082775,18.65908112053861
CT,2011,192507,513812,27.254965532570978,6.788979973356348,20.46598555921463
CT,2012,236829,574125,29.203752617287787,8.248619252407916,20.95513336487987
CT,2013,257799,641656,28.66168957868932,8.497915182106695,20.163774396582625
CT,2014,286016,821290,25.82989706549048,7.882714956093189,17.947182109397293
CT,2015,305176,894961,25.428430254212643,8.494422942374037,16.934007311838606
CT,2016,266236,918719,22.468026211965856,6.417393597324047,16.05063261464181
CT,2017,53453,220885,19.484358710787422,4.583873187998863,14.900485522788559
