State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
DC,1991,13,7838,0.16558400203795695,-1.3521286659182878,1.5177126679562447
DC,1992,33,8530,0.38537895597337385,-1.1813002847701997,1.5666792407435735
DC,1993,23,8813,0.2602987777274785,-1.1855804477022138,1.4458792254296924
DC,1994,379,10432,3.505688650448617,1.5684976456290123,1.9371910048196046
DC,1995,79,12737,0.6164169787765293,-0.9508488405878711,1.5672658193644005
DC,1996,313,13749,2.225856919357133,0.12013315868909391,2.105723760668039
DC,1997,559,23977,2.2782849690251057,-1.0278824959779795,3.3061674650030852
DC,1998,824,27416,2.917847025495751,0.07436792077447674,2.843479104721274
DC,1999,962,30045,3.102525236236979,0.15507522824690367,2.947450007990075
DC,2000,763,26810,2.767199796902767,-0.8477126985935062,3.6149124954962732
DC,2001,1040,31716,3.1749908413725727,-1.2300051140403054,4.404995955412878
DC,2002,1471,33977,4.149740464906341,-2.894775543378901,7.0445160082852425
DC,2003,1831,40555,4.319822582928325,-3.999287217013374,8.3191097999417
DC,2004,1673,42120,3.820245244673806,-5.202489360570501,9.022734605244308
DC,2005,2834,49653,5.3994322403642805,-6.17397812792621,11.57341036829049
DC,2006,2127,33226,6.016462535004101,-7.577985365335402,13.594447900339503
DC,2007,2914,34205,7.850427005037851,-11.011271618223098,18.86169862326095
DC,2008,3319,28812,10.329588248109303,-8.920195357911894,19.249783606021197
DC,2009,3052,34163,8.20099422275964,-9.283910800730514,17.484905023490153
DC,2010,8003,62884,11.289799257973959,-7.36928186256465,18.65908112053861
DC,2011,19384,140079,12.15579789669077,-8.31018766252386,20.46598555921463
DC,2012,36298,240942,13.092627326504111,-7.862506038375759,20.95513336487987
DC,2013,33905,213534,13.702367048040124,-6.461407348542501,20.163774396582625
DC,2014,36474,232688,13.550947013322832,-4.396235096074461,17.947182109397293
DC,2015,30410,222124,12.041942867099085,-4.892064444739521,16.934007311838606
DC,2016,31807,247291,11.39635540204516,-4.65427721259665,16.05063261464181
DC,2017,6644,57366,10.379628183096392,-4.520857339692167,14.900485522788559
