State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
FL,1991,2131,75349,2.7503871966959217,1.232674528739677,1.5177126679562447
FL,1992,2391,93723,2.4876708908171548,0.9209916500735813,1.5666792407435735
FL,1993,2142,104328,2.0118343195266273,0.5659550940969349,1.4458792254296924
FL,1994,3232,121531,2.590511610012584,0.6533206051929792,1.9371910048196046
FL,1995,2243,108683,2.022068766565097,0.4548029472006967,1.5672658193644005
FL,1996,4242,155016,2.6636024563915157,0.5578786957234767,2.105723760668039
FL,1997,7208,187017,3.7111597374179435,0.40499227241485825,3.3061674650030852
FL,1998,7309,274446,2.594097709002502,-0.24938139571877205,2.843479104721274
FL,1999,11223,367833,2.9607762441433456,0.013326236153270443,2.947450007990075
FL,2000,17832,430216,3.9799307217083886,0.3650182262121153,3.6149124954962732
FL,2001,25699,509180,4.80463805832721,0.3996421029143322,4.404995955412878
FL,2002,60461,585528,9.359447297090199,2.3149312888049565,7.0445160082852425
FL,2003,103703,731691,12.41366349291472,4.094553692973021,8.3191097999417
FL,2004,119650,754081,13.694146138800157,4.671411533555849,9.022734605244308
FL,2005,149416,878940,14.529598699283127,2.956188330992637,11.57341036829049
FL,2006,73012,398273,15.492111991682314,1.8976640913428113,13.594447900339503
FL,2007,81422,345293,19.081119716907068,0.21942109364611895,18.86169862326095
FL,2008,133046,393986,25.24438743757495,5.9946038315537535,19.249783606021197
FL,2009,196626,639674,23.51141934712424,6.0265143236340855,17.484905023490153
FL,2010,394926,1213734,24.549998135093805,5.890917014555196,18.65908112053861
FL,2011,595488,1622252,26.85111870643087,6.385133147216241,20.46598555921463
FL,2012,594430,1615746,26.895143192216363,5.9400098273364925,20.95513336487987
FL,2013,615995,1857386,24.904978246376114,4.741203849793489,20.163774396582625
FL,2014,659297,2410658,21.475787104371236,3.528604994973943,17.947182109397293
FL,2015,589909,2946617,16.68046551898671,-0.2535417928518946,16.934007311838606
FL,2016,533428,2854211,15.746305908038016,-0.3043267066037938,16.05063261464181
FL,2017,116369,687010,14.48494421686402,-0.4155413059245383,14.900485522788559
