State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
GA,1991,1060,43520,2.3777478689995513,0.8600352010433066
GA,1992,928,58053,1.573388040216341,0.006708799472767479
GA,1993,1285,68470,1.8421618521969754,0.396282626767283
GA,1994,1923,80354,2.337226685464954,0.40003568064534933
GA,1995,1920,97717,1.9269949918203078,0.3597291724559073
GA,1996,2763,116006,2.3263646237654605,0.22064086309742148
GA,1997,4303,121669,3.4158384402883177,0.10967097528523251
GA,1998,3835,141888,2.63170535879717,-0.21177374592410425
GA,1999,6773,251440,2.623028275106211,-0.32442173288386433
GA,2000,8375,273581,2.970321610464044,-0.6445908850322293
GA,2001,12822,345249,3.5808540764261836,-0.8241418789866946
GA,2002,35987,438104,7.590736799475206,0.5462207911899633
GA,2003,66171,524598,11.200824687822143,2.8817148878804435
GA,2004,83379,580885,12.552087724157865,3.5293531189135567
GA,2005,110926,592078,15.778857588292528,4.205447220002037
GA,2006,63136,330807,16.026684063430498,2.4322361630909946
GA,2007,50989,189078,21.239487309792683,2.3777886865317335
GA,2008,73541,209118,26.017568872740654,6.767785266719457
GA,2009,94184,301334,23.812822678108205,6.327917654618052
GA,2010,163635,604604,21.30001210560776,2.6409309850691507
GA,2011,227656,860318,20.92476474621636,0.45877918700173126
GA,2012,281565,1066501,20.886588638835192,-0.06854472604467787
GA,2013,304260,1172219,20.60713359282455,0.443359196241925
GA,2014,316682,1572185,16.765711932073565,-1.1814701773237282
GA,2015,322196,1654360,16.300878902495047,-0.6331284093435592
GA,2016,313935,1590319,16.48598348749694,0.43535087285513185
GA,2017,76609,415170,15.5779323639277,0.6774468411391403
