State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
HI,1991,435,5789,6.989074550128535,5.471361882172291,1.5177126679562447
HI,1992,335,7970,4.0337146297411195,2.4670353889975463,1.5666792407435735
HI,1993,286,10132,2.7452486081781533,1.299369382748461,1.4458792254296924
HI,1994,374,11392,3.1786503484616695,1.241459343642065,1.9371910048196046
HI,1995,195,3892,4.771225838023,3.2039600186585995,1.5672658193644005
HI,1996,670,8684,7.162711139619414,5.056987378951375,2.105723760668039
HI,1997,1900,12254,13.423767132965947,10.117599667962862,3.3061674650030852
HI,1998,2447,19782,11.008142516532457,8.164663411811183,2.843479104721274
HI,1999,2206,22706,8.855170199100835,5.9077201911107595,2.947450007990075
HI,2000,3140,30028,9.466956102267247,5.852043606770973,3.6149124954962732
HI,2001,4132,32310,11.338565391581144,6.933569436168265,4.404995955412878
HI,2002,6151,41851,12.814049414607725,5.769533406322482,7.0445160082852425
HI,2003,9564,46102,17.18104408436029,8.861934284418592,8.3191097999417
HI,2004,12011,45624,20.839767502385705,11.817032897141397,9.022734605244308
HI,2005,13592,42065,24.42100724077834,12.84759687248785,11.57341036829049
HI,2006,9924,22471,30.63435715388177,17.039909253542266,13.594447900339503
HI,2007,10296,22272,31.6138540899042,12.752155466643252,18.86169862326095
HI,2008,12582,29389,29.977841843177433,10.728058237156237,19.249783606021197
HI,2009,1518,5941,20.351253519238504,2.866348495748351,17.484905023490153
HI,2010,27450,102130,21.183824664300047,2.5247435437614385,18.65908112053861
HI,2011,52084,187360,21.752058936536308,1.286073377321678,20.46598555921463
HI,2012,56155,188592,22.94410145987489,1.9889680949950197,20.95513336487987
HI,2013,59545,215102,21.680557224364367,1.5167828277817428,20.163774396582625
HI,2014,63934,271460,19.062356512042552,1.115174402645259,17.947182109397293
HI,2015,70518,315812,18.25330675847074,1.319299446632133,16.934007311838606
HI,2016,56249,284093,16.52719911148198,0.47656649684017083,16.05063261464181
HI,2017,13271,73516,15.291460702639798,0.39097517985123886,14.900485522788559
