State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
IL,1991,2171,78286,2.6983357569882047,1.18062308903196
IL,1992,4326,200972,2.1071807811084375,0.5405015403648641
IL,1993,4905,287894,1.675210639380599,0.22933141395090662
IL,1994,6755,276228,2.3870691879017465,0.4498781830821419
IL,1995,1742,242308,0.7137881581643105,-0.8534776612000899
IL,1996,2905,291427,0.9869806884742399,-1.1187430721937992
IL,1997,4007,279069,1.4155209201769137,-1.8906465448261716
IL,1998,3954,359206,1.0887762969490031,-1.754702807772271
IL,1999,5145,430806,1.1801785063000199,-1.7672715016900553
IL,2000,7806,461009,1.6650491131896377,-1.9498633823066356
IL,2001,11169,551048,1.9865994802718525,-2.4183964751410256
IL,2002,33980,697780,4.6435989942057505,-2.400917014079492
IL,2003,72275,823803,8.065704101651864,-0.2534056982898356
IL,2004,88393,852865,9.390942759583451,0.36820815433914333
IL,2005,120582,1015290,10.615808823529411,-0.9576015447610793
IL,2006,66988,697247,8.765366673863406,-4.829081226476097
IL,2007,75192,693485,9.78200206328536,-9.07969655997559
IL,2008,163840,801141,16.978572635108875,-2.271210970912321
IL,2009,204772,1356899,13.112364896319392,-4.372540127170762
IL,2010,282459,1757308,13.84761102616132,-4.811470094377288
IL,2011,269543,1520587,15.057174618603117,-5.408810940611513
IL,2012,379561,1901799,16.637488164954238,-4.317645199925632
IL,2013,222185,1316261,14.442170865925746,-5.721603530656878
IL,2014,277730,1967845,12.367879051022566,-5.579303058374727
IL,2015,367250,2416596,13.192180889316434,-3.7418264225221716
IL,2016,396652,2793534,12.433507011816866,-3.6171256028249434
IL,2017,102623,772865,11.721805438795277,-3.1786800839932816
