State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
KS,1991,205,8512,2.3517265114144776,0.8340138434582329,1.5177126679562447
KS,1992,404,17171,2.2987197724039827,0.7320405316604093,1.5666792407435735
KS,1993,301,21570,1.376251657445933,-0.06962756798375946,1.4458792254296924
KS,1994,570,24468,2.27653965971723,0.3393486548976252,1.9371910048196046
KS,1995,129,7979,1.5910212136161814,0.02375539425178097,1.5672658193644005
KS,1996,207,15914,1.2840394516469202,-0.8216843090211188,2.105723760668039
KS,1997,876,39737,2.1569448206239383,-1.149222644379147,3.3061674650030852
KS,1998,1038,51232,1.9858427396211977,-0.8576363651000765,2.843479104721274
KS,1999,943,48520,1.9064755473788486,-1.0409744606112266,2.947450007990075
KS,2000,1200,58352,2.015045674368619,-1.5998668211276543,3.6149124954962732
KS,2001,2348,84904,2.691055792417366,-1.7139401629955122,4.404995955412878
KS,2002,5954,96639,5.803514859688283,-1.2410011485969594,7.0445160082852425
KS,2003,12323,115637,9.630353235386057,1.3112434354443572,8.3191097999417
KS,2004,17064,129319,11.657091328911145,2.634356723666837,9.022734605244308
KS,2005,28226,135288,17.262130459777143,5.688720091486653,11.57341036829049
KS,2006,12547,67371,15.699842338396857,2.1053944380573544,13.594447900339503
KS,2007,15086,50282,23.078570554399704,4.216871931138755,18.86169862326095
KS,2008,24196,58939,29.104468635352138,9.854685029330941,19.249783606021197
KS,2009,30142,87073,25.71513884741714,8.230233823926987,17.484905023490153
KS,2010,44520,131500,25.292580388592206,6.633499268053598,18.65908112053861
KS,2011,62936,170492,26.9616327090152,6.495647149800568,20.46598555921463
KS,2012,71672,176070,28.930096632787333,7.974963267907462,20.95513336487987
KS,2013,29051,73930,28.21005816606947,8.046283769486845,20.163774396582625
KS,2014,159762,497009,24.32537368428265,6.378191574885356,17.947182109397293
KS,2015,100139,295598,25.304431983868074,8.370424672029468,16.934007311838606
KS,2016,94111,284040,24.887148255591022,8.836515640949212,16.05063261464181
KS,2017,21747,59670,26.71063782748075,11.81015230469219,14.900485522788559
