State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
KY,1991,229,77920,0.2930299811897785,-1.2246826867664662
KY,1992,406,103266,0.391619723744116,-1.1750595169994575
KY,1993,569,139541,0.4061094854043251,-1.0397697400253674
KY,1994,1332,137039,0.96262945270324,-0.9745615521163646
KY,1995,1282,135853,0.9348452255077114,-0.632420593856689
KY,1996,2202,166681,1.30386125305685,-0.8018625076111889
KY,1997,3903,174464,2.1881850342271836,-1.1179824307759016
KY,1998,3190,190729,1.6450167337909125,-1.1984623709303617
KY,1999,2210,231771,0.9445211363315825,-2.0029288716584928
KY,2000,2788,278389,0.9915462502267256,-2.6233662452695476
KY,2001,3846,342897,1.1091788442737127,-3.2958171111391654
KY,2002,6392,409366,1.5374328335233478,-5.5070831747618945
KY,2003,11271,459043,2.3964840510807672,-5.922625748860932
KY,2004,13449,529727,2.475993048293739,-6.546741556950568
KY,2005,49431,533567,8.478759789913516,-3.0946505783769744
KY,2006,56285,395574,12.456319338554726,-1.138128561784777
KY,2007,88048,413527,17.55430394258087,-1.3073946806800798
KY,2008,131207,446036,22.729942156076383,3.4801585500551866
KY,2009,129592,615347,17.39632372583527,-0.08858129765488343
KY,2010,167396,813651,17.062994943157666,-1.5960861773809434
KY,2011,188288,951817,16.514970112401926,-3.951015446812704
KY,2012,177145,1050375,14.431129431699688,-6.5240039331801825
KY,2013,142912,1110304,11.403620764497102,-8.760153632085522
KY,2014,201788,2307049,8.04308928798483,-9.904092821412462
KY,2015,252421,2847953,8.141630654882281,-8.792376656956325
KY,2016,253409,3100727,7.55512000705994,-8.495512607581869
KY,2017,52626,747856,6.574288990882993,-8.326196531905566
