State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
LA,1991,814,44151,1.8102968975870122,0.29258422963076747
LA,1992,1211,45331,2.6019509260452924,1.035271685301719
LA,1993,1317,56673,2.271081220900155,0.8252019954704628
LA,1994,1987,65028,2.965007834067,1.0278168292473953
LA,1995,1576,70460,2.1877949913931922,0.6205291720287918
LA,1996,2284,84647,2.627371133427661,0.521647372759622
LA,1997,2175,96726,2.1991688658355324,-1.1069985991675528
LA,1998,1517,155638,0.9652890458464572,-1.878190058874817
LA,1999,1981,216679,0.9059727430714352,-2.04147726491864
LA,2000,2453,223627,1.0850141542816703,-2.529898341214603
LA,2001,4527,261463,1.7019436820933118,-2.7030522733195665
LA,2002,15287,330204,4.424717286412671,-2.619798721872572
LA,2003,24481,337903,6.755541083491545,-1.5635687164501544
LA,2004,33229,373530,8.169210761163244,-0.8535238440810637
LA,2005,50656,452461,10.068433386269993,-1.504976982020498
LA,2006,31545,299060,9.541597979461896,-4.052849920877607
LA,2007,39024,300973,11.477748333073528,-7.383950290187421
LA,2008,74526,350617,17.529631206441127,-1.7201523995800692
LA,2009,94341,479996,16.42607040814017,-1.0588346153499835
LA,2010,122016,569021,17.656941668825258,-1.0021394517133508
LA,2011,139995,604162,18.812562402826284,-1.653423156388346
LA,2012,157602,656172,19.366802085099792,-1.5883312797800784
LA,2013,183256,720375,20.279959408209766,0.11618501162714168
LA,2014,163655,845748,16.213048703045267,-1.7341334063520257
LA,2015,210314,1163079,15.313460895752346,-1.6205464160862597
LA,2016,248083,1411075,14.952343297021741,-1.0982893176200683
LA,2017,76437,473341,13.903248220190696,-0.9972373025978634
