State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
ME,1991,365,22235,1.6150442477876108,0.09733157983136609
ME,1992,276,24217,1.1268525701220757,-0.4398266706214977
ME,1993,258,33267,0.7695749440715884,-0.6763042813581039
ME,1994,394,29936,1.2990438509726343,-0.6381471538469703
ME,1995,478,41586,1.1363636363636365,-0.430902183000764
ME,1996,1016,44830,2.2161148191772453,0.11039105850920627
ME,1997,2369,49602,4.55831136595409,1.2521439009510047
ME,1998,3279,61511,5.060966198487421,2.2174870937661466
ME,1999,5410,76282,6.622435489399208,3.6749854814091325
ME,2000,8854,80482,9.910898182143816,6.295985686647542
ME,2001,14384,106833,11.866322380524185,7.461326425111307
ME,2002,26754,149226,15.202863961813842,8.1583479535286
ME,2003,36316,155318,18.950708120688393,10.631598320746694
ME,2004,45425,163085,21.7855258740588,12.76279126881449
ME,2005,62431,170835,26.763866144230192,15.190455775939702
ME,2006,43912,113926,27.820930320962,14.226482420622496
ME,2007,54671,121088,31.105661729982533,12.243963106721584
ME,2008,62554,115733,35.086125180187,15.8363415741658
ME,2009,70501,170417,29.263483840974935,11.778578817484782
ME,2010,88393,212960,29.332045806744915,10.672964686206306
ME,2011,115142,252211,31.3436939401611,10.87770838094647
ME,2012,113388,248553,31.327757838984805,10.372624474104935
ME,2013,94579,246494,27.72984082586426,7.566066429281637
ME,2014,82630,207834,28.44758730858213,10.500405199184836
ME,2015,79071,190643,29.316609445560854,12.382602133722248
ME,2016,69977,180326,27.956916217544336,11.906283602902526
ME,2017,15004,42010,26.316343354263864,11.415857831475305
