State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
MO,1991,290,28175,1.0187950114175301,-0.49891765653871456
MO,1992,462,47652,0.9602194787379973,-0.6064597620055762
MO,1993,508,59452,0.847231487658439,-0.5986477377712534
MO,1994,1460,54681,2.600594930621115,0.6634039258015103
MO,1995,1578,85279,1.8167793039133289,0.2495134845489284
MO,1996,1661,67911,2.3874547231644914,0.28173096249645235
MO,1997,3586,93963,3.6761012414273853,0.36993377642430003
MO,1998,4044,133973,2.930073831484527,0.08659472676325297
MO,1999,7245,190302,3.6674816625916873,0.7200316546016121
MO,2000,9592,223192,4.1205581139597225,0.5056456184634492
MO,2001,13338,273205,4.65479875620762,0.2498028007947415
MO,2002,30376,343904,8.115849096932777,1.0713330886475347
MO,2003,55686,428474,11.501569729015202,3.1824599290735023
MO,2004,72749,494026,12.835604957875702,3.8128703526313945
MO,2005,98747,549244,15.238946219932068,3.665535851641577
MO,2006,58842,300397,16.379624706671603,2.7851768063320996
MO,2007,48198,222761,17.787931015393475,-1.0737676078674738
MO,2008,114871,349473,24.73834054063367,5.488556934612472
MO,2009,141009,390818,26.514073185453164,9.02916816196301
MO,2010,284376,734779,27.903115816534285,9.244034695995676
MO,2011,348820,831868,29.543791416530023,9.077805857315393
MO,2012,338695,889397,27.578959882484373,6.623826517604503
MO,2013,334638,918217,26.710034281700594,6.546259885117969
MO,2014,302752,972607,23.738570865144638,5.791388755747345
MO,2015,292242,1107085,20.88446803356185,3.9504607217232426
MO,2016,280106,1123036,19.96276927067966,3.912136656037852
MO,2017,63069,283507,18.19774017820045,3.2972546554118924
