State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
MS,1991,160,21975,0.7228371357578496,-0.7948755321983951,1.5177126679562447
MS,1992,209,40602,0.5121168312464777,-1.0545624094970958,1.5666792407435735
MS,1993,479,56334,0.8431168922605741,-0.6027623331691183,1.4458792254296924
MS,1994,862,57796,1.4695352722561288,-0.4676557325634758,1.9371910048196046
MS,1995,625,57435,1.076472614536686,-0.4907932048277144,1.5672658193644005
MS,1996,941,58244,1.5899298808819802,-0.5157938797860588,2.105723760668039
MS,1997,1302,51631,2.4597132223754556,-0.8464542426276296,3.3061674650030852
MS,1998,616,82676,0.73956682514527206,-2.103912279576002,2.843479104721274
MS,1999,270,32804,0.8163512124327267,-2.1310987955573486,2.947450007990075
MS,2000,634,82274,0.7647030443383027,-2.8502094511579705,3.6149124954962732
MS,2001,1794,195571,0.9089757555797634,-3.4960201998331146,4.404995955412878
MS,2002,10782,257520,4.018605899322406,-3.0259101089628366,7.0445160082852425
MS,2003,18539,275015,6.315362761195555,-2.0037470387461447,8.3191097999417
MS,2004,20255,303218,6.261728181331981,-2.7610064239123266,9.022734605244308
MS,2005,26448,297725,8.158606669895395,-3.4148036983950956,11.57341036829049
MS,2006,14183,138459,9.291675947642196,-4.302771952697308,13.594447900339503
MS,2007,17859,133771,11.77801226670184,-7.0836863565591095,18.86169862326095
MS,2008,27946,155452,15.237897905102562,-4.011885700918635,19.249783606021197
MS,2009,34143,217903,13.546336779794165,-3.938568243695988,17.484905023490153
MS,2010,43436,249828,14.811228108461998,-3.8478530120766106,18.65908112053861
MS,2011,62852,295129,17.557356396009844,-2.908629163204786,20.46598555921463
MS,2012,59821,336361,15.099373520250795,-5.855759844629075,20.95513336487987
MS,2013,60847,387230,13.579585651573279,-6.584188745009346,20.163774396582625
MS,2014,68883,595871,10.362179091814415,-7.585003017582878,17.947182109397293
MS,2015,67405,654763,9.333700745532896,-7.60030656630571,16.934007311838606
MS,2016,61688,635791,8.844423989826216,-7.206208624815593,16.05063261464181
MS,2017,14249,156600,8.340113199374887,-6.560372323413672,14.900485522788559
