State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
MT,1991,212,4797,4.23238171291675,2.7146690449605053
MT,1992,237,6046,3.772083399649849,2.2054041589062754
MT,1993,434,7865,5.229545728401012,3.78366650297132
MT,1994,537,9603,5.29585798816568,3.358666983346075
MT,1995,656,12294,5.065637065637066,3.498371246272666
MT,1996,993,11574,7.901647171162568,5.795923410494529
MT,1997,1461,11812,11.00730806901228,7.701140604009195
MT,1998,1879,19112,8.951455385641466,6.107976280920193
MT,1999,2430,24264,9.103169251517194,6.155719243527119
MT,2000,3063,29827,9.312861051991487,5.697948556495213
MT,2001,4590,37128,11.00244498777506,6.597449032362182
MT,2002,7631,44912,14.523342785908685,7.478826777623443
MT,2003,10132,49157,17.08917337111437,8.77006357117267
MT,2004,11633,52032,18.27220607869316,9.249471473448851
MT,2005,15194,50101,23.269775633662608,11.696365265372117
MT,2006,10421,29634,26.016727000374484,12.42227910003498
MT,2007,12751,29727,30.01789161448279,11.15619299122184
MT,2008,16607,32063,34.121635504417505,14.871851898396308
MT,2009,23045,45862,33.443626917439445,15.958721893949292
MT,2010,28792,55346,34.21997195084266,15.560890830304054
MT,2011,35475,65853,35.010066319279964,14.544080760065334
MT,2012,36246,69400,34.308918463548075,13.353785098668205
MT,2013,37097,74818,33.14747799669392,12.983703600111298
MT,2014,40657,96904,29.555615327018558,11.608433217621265
MT,2015,43244,112599,27.748439134256913,10.814431822418307
MT,2016,65640,204217,24.323993818948555,8.273361204306745
MT,2017,18142,61299,22.837074054959025,7.936588532170466
