State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
NC,1991,875,33405,2.5525087514585767,1.034796083502332,1.5177126679562447
NC,1992,1642,41666,3.791447307656784,2.22476806691321,1.5666792407435735
NC,1993,2369,48260,4.67913646329179,3.233257237862097,1.4458792254296924
NC,1994,3543,57178,5.834884142224272,3.8976931374046675,1.9371910048196046
NC,1995,4116,85365,4.599859187984041,3.032593368619641,1.5672658193644005
NC,1996,4026,93741,4.117953910828807,2.012230150160768,2.105723760668039
NC,1997,10540,108111,8.883195253305914,5.5770277883028285,3.3061674650030852
NC,1998,18422,194993,8.632008059414757,5.788528954693483,2.843479104721274
NC,1999,24531,226454,9.773890869972309,6.826440861982234,2.947450007990075
NC,2000,37449,309466,10.794863295043454,7.17995079954718,3.6149124954962732
NC,2001,53892,407140,11.689427198112062,7.284431242699184,4.404995955412878
NC,2002,90449,528473,14.613957816978553,7.569441808693311,7.0445160082852425
NC,2003,140006,623710,18.332207260290474,10.013097460348774,8.3191097999417
NC,2004,155112,710882,17.911440494968787,8.888705889724479,9.022734605244308
NC,2005,190268,798481,19.24330644076505,7.669896072474559,11.57341036829049
NC,2006,125151,458853,21.429818973842647,7.835371073503143,13.594447900339503
NC,2007,142039,464114,23.43286266008747,4.57116403682652,18.86169862326095
NC,2008,227891,551201,29.250845856458547,10.00106225043735,19.249783606021197
NC,2009,306811,785993,28.075574393944386,10.590669370454233,17.484905023490153
NC,2010,307700,925897,24.94331617213725,6.2842350515986425,18.65908112053861
NC,2011,360828,1024114,26.053654232451613,5.587668673236983,20.46598555921463
NC,2012,425015,1087036,28.108509567468293,7.153376202588422,20.95513336487987
NC,2013,482519,1207583,28.54969700053606,8.385922603953436,20.163774396582625
NC,2014,547424,1470050,27.134129113931582,9.18694700453429,17.947182109397293
NC,2015,529026,1536356,25.613954222511865,8.679946910673259,16.934007311838606
NC,2016,520783,1470681,26.15076144986804,10.10012883522623,16.05063261464181
NC,2017,124816,438880,22.142431381453832,7.241945858665273,14.900485522788559
