State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
ND,1993,13,4196,0.30886196246139225,-1.1370172629683002,1.4458792254296924
ND,1994,72,5052,1.405152224824356,-0.5320387799952486,1.9371910048196046
ND,1995,33,5993,0.5476269498838368,-1.0196388694805636,1.5672658193644005
ND,1996,232,6521,3.435510143639864,1.3297863829718248,2.105723760668039
ND,1997,253,6718,3.6293214746808204,0.3231540096777352,3.3061674650030852
ND,1998,192,8181,2.293084915800788,-0.5503941889204862,2.843479104721274
ND,1999,347,11603,2.9037656903765687,-0.04368431761350644,2.947450007990075
ND,2000,325,13672,2.3219261270272202,-1.292986368469053,3.6149124954962732
ND,2001,615,16424,3.6093667468748167,-0.7956292085380614,4.404995955412878
ND,2002,2017,22581,8.199853646637937,1.1553376383526945,7.0445160082852425
ND,2003,2328,22603,9.337772251413902,1.0186624514722027,8.3191097999417
ND,2004,2691,24229,9.9962852897474,0.9735506845030919,9.022734605244308
ND,2005,5613,22820,19.74114585165125,8.16773548336076,11.57341036829049
ND,2006,3970,14841,21.104672797831057,7.510224897491554,13.594447900339503
ND,2007,5255,15324,25.5357403177997,6.674041694538751,18.86169862326095
ND,2008,7950,16971,31.900806548693872,12.651022942672675,19.249783606021197
ND,2009,14576,22742,39.058899190739055,21.5739941672489,17.484905023490153
ND,2010,15976,29085,35.45416213577151,16.795081015232903,18.65908112053861
ND,2011,17701,34152,34.1368869689314,13.67090140971677,20.46598555921463
ND,2012,18776,42164,30.810633409911386,9.855500045031516,20.95513336487987
ND,2013,17643,40541,30.322769146157018,10.158994749574394,20.163774396582625
ND,2014,25261,59174,29.917688162491856,11.970506053094564,17.947182109397293
ND,2015,31223,77129,28.81626550502067,11.882258193182064,16.934007311838606
ND,2016,26091,79150,24.791668646250038,8.741036031608228,16.05063261464181
ND,2017,5183,16688,23.698047642997576,8.797562120209017,14.900485522788559
