State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
NH,1991,139,8625,1.586033774532177,0.06832110657593238
NH,1992,186,11775,1.5550539252570856,-0.01162531548648782
NH,1993,314,15125,2.0338104799533645,0.5879312545236721
NH,1994,500,17372,2.7976723366159355,0.8604813317963309
NH,1995,830,26607,3.0251120749353064,1.457846255570906
NH,1996,454,13002,3.373959571938169,1.26823581127013
NH,1997,1731,22095,7.265172500629564,3.959005035626479
NH,1998,3234,42200,7.118017343839416,4.274538239118142
NH,1999,4792,59846,7.413595717689285,4.46614570969921
NH,2000,6051,67375,8.240950072181516,4.626037576685242
NH,2001,6480,71587,8.300562337479345,3.895566382066467
NH,2002,12510,81931,13.246365455681325,6.201849447396082
NH,2003,16004,85776,15.724110827274515,7.4050010273328155
NH,2004,19433,84463,18.7042812042812,9.681546599036894
NH,2005,21972,79027,21.754670838325133,10.181260470034642
NH,2006,12779,42375,23.169670377488487,9.575222477148984
NH,2007,14334,44069,24.543259764053214,5.681561140792265
NH,2008,23306,49556,31.986495017979195,12.736711411957998
NH,2009,42235,87757,32.49046095144317,15.005555927953015
NH,2010,51021,100070,33.76839123442164,15.109310113883033
NH,2011,56684,99889,36.20292132104513,15.736935761830502
NH,2012,57791,99822,36.666391731646506,15.711258366766636
NH,2013,54986,105466,34.26943883529031,14.105664438707684
NH,2014,51248,111834,31.42468206178487,13.477499952387578
NH,2015,66807,150277,30.774723148642924,13.840715836804318
NH,2016,37473,99450,27.367936723559954,11.317304108918144
NH,2017,6679,20792,24.312911797895964,9.412426275107405
