State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
NV,1991,107,2855,3.6124240378122887,2.094711369856044,1.5177126679562447
NV,1992,147,4473,3.1818181818181817,1.6151389410746082,1.5666792407435735
NV,1993,320,4971,6.048006048006048,4.602126822576356,1.4458792254296924
NV,1994,347,6432,5.118749078035108,3.1815580732155038,1.9371910048196046
NV,1995,325,8982,3.4919952723756307,1.9247294530112302,1.5672658193644005
NV,1996,336,8347,3.869630312104112,1.7639065514360728,2.105723760668039
NV,1997,394,4951,7.371375116931713,4.0652076519286275,3.3061674650030852
NV,1998,1274,14779,7.936211300068523,5.092732195347249,2.843479104721274
NV,1999,1611,17432,8.459801501864202,5.512351493874127,2.947450007990075
NV,2000,2543,21348,10.64417563099075,7.029263135494476,3.6149124954962732
NV,2001,3781,26909,12.319973932877158,7.91497797746428,4.404995955412878
NV,2002,4579,32365,12.394434820268515,5.349918811983272,7.0445160082852425
NV,2003,11542,61233,15.859841978701478,7.540732178759779,8.3191097999417
NV,2004,12579,63706,16.489480238579013,7.466745633334705,9.022734605244308
NV,2005,17987,65615,21.515035525465898,9.941625157175407,11.57341036829049
NV,2006,14061,37954,27.032586753821015,13.438138853481512,13.594447900339503
NV,2007,15601,35318,30.638857793750855,11.777159170489906,18.86169862326095
NV,2008,20555,37997,35.10554720590244,15.855763599881243,19.249783606021197
NV,2009,24438,54872,30.813264405497414,13.32835938200726,17.484905023490153
NV,2010,47626,124573,27.657535758047374,8.998454637508765,18.65908112053861
NV,2011,67648,161450,29.52797492776017,9.06198936854554,20.46598555921463
NV,2012,88397,184042,32.446529314819095,11.491395949939225,20.95513336487987
NV,2013,91079,223435,28.958647309817685,8.79487291323506,20.163774396582625
NV,2014,148907,476548,23.807787930386677,5.8606058209893845,17.947182109397293
NV,2015,184809,701666,20.84762683662822,3.9136195247896133,16.934007311838606
NV,2016,222223,854258,20.6434670003465,4.592834385704691,16.05063261464181
NV,2017,49257,204885,19.38168425525887,4.481198732470313,14.900485522788559
