State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
RI,1991,82,8004,1.0140984417511747,-0.50361422620507
RI,1992,48,11015,0.43387869474826,-1.1328005459953134
RI,1993,91,11104,0.8128628852166145,-0.6330163402130778
RI,1994,249,9475,2.560674619498149,0.6234836146785443
RI,1995,204,16429,1.2264774845187278,-0.3407883348456726
RI,1996,385,20516,1.8420171283670639,-0.26370663230097513
RI,1997,793,18410,4.129563089100661,0.8233956240975759
RI,1998,872,27641,3.058254129695227,0.21477502497395262
RI,1999,1206,33432,3.4817252728217563,0.5342752648316811
RI,2000,1807,35368,4.86079354404842,1.2458810485521465
RI,2001,2505,39038,6.029896733505042,1.6249007780921643
RI,2002,4357,47545,8.39466687218219,1.350150863896948
RI,2003,7493,56492,11.710557161834805,3.391447361893105
RI,2004,8828,60832,12.67298306057996,3.6502484553356513
RI,2005,10123,60994,14.234289972861621,2.6608796045711305
RI,2006,4720,23524,16.71151394986546,3.117066049525956
RI,2007,6511,29094,18.286757477882322,-0.5749411453786273
RI,2008,7546,27517,21.521261728888003,2.2714781228668066
RI,2009,7141,28012,20.31405569937132,2.8291506758811664
RI,2010,25442,119539,17.54850635600527,-1.1105747645333395
RI,2011,40418,178094,18.496924654023577,-1.9690609051910535
RI,2012,44399,183487,19.48298710758888,-1.4721462572909907
RI,2013,41860,197120,17.51611013473931,-2.647664261843314
RI,2014,47030,271978,14.74257698866486,-3.204605120732433
RI,2015,48877,288485,14.487998055501212,-2.446009256337394
RI,2016,62652,361904,14.757063850234125,-1.2935687644076843
RI,2017,15019,93673,13.817944282927908,-1.0825412398606513
