State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
TX,1991,102,45588,0.2232435981615233,-1.2944690697947214,1.5177126679562447
TX,1992,25,62162,0.040201328251885445,-1.526477912491688,1.5666792407435735
TX,1993,227,76695,0.2951041314578404,-1.150775093971852,1.4458792254296924
TX,1994,1852,95327,1.9057615328414577,-0.03142947197814694,1.9371910048196046
TX,1995,2145,122583,1.7197421589378488,0.1524763395734483,1.5672658193644005
TX,1996,3968,134296,2.8698721286813633,0.7641483680133243,2.105723760668039
TX,1997,13640,158566,7.920746083179448,4.614578618176362,3.3061674650030852
TX,1998,19019,330126,5.447306992796689,2.6038278880754144,2.843479104721274
TX,1999,23760,535088,4.2516032982134675,1.3041532902233923,2.947450007990075
TX,2000,28013,590179,4.5314400703988404,0.9165275749025672,3.6149124954962732
TX,2001,34841,706455,4.700011871101423,0.2950159156885448,4.404995955412878
TX,2002,51193,933800,5.197295818345917,-1.8472201899393257,7.0445160082852425
TX,2003,71920,1201693,5.646927284818857,-2.6721825151228424,8.3191097999417
TX,2004,79232,1639949,4.608706122275665,-4.414028482968643,9.022734605244308
TX,2005,109916,1831267,5.662320347952769,-5.9110900203377215,11.57341036829049
TX,2006,75847,1444164,4.989898099421649,-8.604549800917855,13.594447900339503
TX,2007,97782,1518387,6.050233607995203,-12.811465015265746,18.86169862326095
TX,2008,148364,1601215,8.479982898743069,-10.769800707278128,19.249783606021197
TX,2009,177523,2233086,7.3642386633419195,-10.120666360148235,17.484905023490153
TX,2010,207771,2447173,7.825814781780709,-10.8332663387579,18.65908112053861
TX,2011,265803,2516645,9.552846989413638,-10.913138569800992,20.46598555921463
TX,2012,334984,2979414,10.10693344613411,-10.84819991874576,20.95513336487987
TX,2013,371254,3176714,10.463848602918628,-9.699925793663997,20.163774396582625
TX,2014,439066,3593812,10.88716296401726,-7.060019145380032,17.947182109397293
TX,2015,437230,3376510,11.464599054995883,-5.469408256842723,16.934007311838606
TX,2016,458521,3550616,11.43690026057977,-4.613732354062039,16.05063261464181
TX,2017,99489,986069,9.164779772246161,-5.735705750542397,14.900485522788559
