State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
UT,1991,293,11953,2.3926179977135393,0.8749053297572946,1.5177126679562447
UT,1992,389,20921,1.8254340685124353,0.25875482776886183,1.5666792407435735
UT,1993,574,20746,2.6923076923076925,1.2464284668780001,1.4458792254296924
UT,1994,463,17803,2.5347640424833022,0.5975730376636976,1.9371910048196046
UT,1995,854,25729,3.2125794680811044,1.645313648716704,1.5672658193644005
UT,1996,924,25803,3.4571781344707597,1.3514543738027207,2.105723760668039
UT,1997,1677,25172,6.246042683153935,2.93987521815085,3.3061674650030852
UT,1998,3240,45912,6.591796875,3.748317770278726,2.843479104721274
UT,1999,4293,61183,6.556600891929867,3.609150883939792,2.947450007990075
UT,2000,3853,47987,7.432484567901235,3.8175720724049618,3.6149124954962732
UT,2001,7028,69873,9.139022899572177,4.734026944159299,4.404995955412878
UT,2002,10191,86877,10.49882556558289,3.4543095572976483,7.0445160082852425
UT,2003,16942,109218,13.428979074191503,5.109869274249803,8.3191097999417
UT,2004,20446,125650,13.994907458109736,4.9721728528654285,9.022734605244308
UT,2005,26889,148364,15.342961318779135,3.769550950488645,11.57341036829049
UT,2006,19253,100195,16.11831089679191,2.523862996452408,13.594447900339503
UT,2007,21189,87023,19.581007651646768,0.719309028385819,18.86169862326095
UT,2008,28588,89877,24.13202211623686,4.8822385102156645,19.249783606021197
UT,2009,51646,135314,27.624090714591354,10.1391856911012,17.484905023490153
UT,2010,77242,153524,33.47200194136051,14.812920820821901,18.65908112053861
UT,2011,83941,187258,30.951810294285746,10.485824735071116,20.46598555921463
UT,2012,77544,187179,29.29250575129475,8.33737238641488,20.95513336487987
UT,2013,140774,223058,38.692033685877,18.528259289294375,20.163774396582625
UT,2014,129048,288055,30.939120552956943,12.99193844355965,17.947182109397293
UT,2015,106579,300368,26.189896964469572,9.255889652630966,16.934007311838606
UT,2016,95522,279678,25.458955223880597,9.408322609238787,16.05063261464181
UT,2017,18410,62874,22.648983809851877,7.748498287063319,14.900485522788559
