State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
VT,1991,284,5147,5.229239550727306,3.7115268827710617
VT,1992,306,7551,3.8946162657502863,2.3279370250067126
VT,1993,362,9589,3.6378253441865143,2.191946118756822
VT,1994,428,13350,3.10640150965307,1.1692105048334653
VT,1995,200,13280,1.483679525222552,-0.08358629414184837
VT,1996,417,16206,2.5085724598447934,0.40284869917675437
VT,1997,1079,20529,4.993520918178453,1.6873534531753673
VT,1998,1054,15673,6.301189693310218,3.457710588588944
VT,1999,2018,40774,4.715834735464573,1.7683847274744977
VT,2000,741,6969,9.610894941634243,5.995982446137969
VT,2001,675,9385,6.709741550695824,2.304745595282946
VT,2002,2722,21900,11.055153927382017,4.010637919096775
VT,2003,2836,12923,17.996065740211943,9.676955940270243
VT,2004,3048,13140,18.82876204595997,9.806027440715662
VT,2005,6306,18088,25.85061900467328,14.27720863638279
VT,2006,5982,11080,35.060368069393974,21.46592016905447
VT,2007,3211,6646,32.575834432383076,13.714135809122126
VT,2008,5142,17224,22.99025306268443,3.7404694566632344
VT,2009,32943,79737,29.23588924387646,11.750984220386307
VT,2010,44844,101963,30.546227359730803,11.887146239192194
VT,2011,51304,103444,33.153255615581465,12.687270056366835
VT,2012,54388,107072,33.685123250340645,12.729989885460775
VT,2013,54405,110751,32.94158250381457,12.777808107231948
VT,2014,56756,122179,31.71878056277419,13.771598453376896
VT,2015,55441,141459,28.156932453021838,11.222925141183232
VT,2016,55560,138539,28.624567875156494,12.573935260514684
VT,2017,11962,30894,27.912077655404143,13.011592132615585
