State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
XX,1991,31270,1963261,1.567787113862858,0.05007444590661336,1.5177126679562447
XX,1992,44033,2677221,1.6181142958356698,0.05143505509209634,1.5666792407435735
XX,1993,53456,3567017,1.4764921600022982,0.030612934572605832,1.4458792254296924
XX,1994,78384,3918707,1.9610261562721487,0.023835151452544112,1.9371910048196046
XX,1995,70961,4375352,1.5959515220813287,0.028685702716928274,1.5672658193644005
XX,1996,107392,4899959,2.1446868813470434,0.038963120679004426,2.105723760668039
XX,1997,176559,5096643,3.3482313023472265,0.04206383734414132,3.3061674650030852
XX,1998,204760,6871274,2.8937113643037895,0.050232259582515315,2.843479104721274
XX,1999,272872,8861980,2.9871529390952367,0.03970293110516154,2.947450007990075
XX,2000,362947,9620213,3.635592337496344,0.02067984200007089,3.6149124954962732
XX,2001,545592,11791216,4.422472976802427,0.017477021389549208,4.404995955412878
XX,2002,1096697,14482911,7.039310616801142,-0.0052053914841003746,7.0445160082852425
XX,2003,1886114,20873900,8.286963268124529,-0.032146531817170754,8.3191097999417
XX,2004,2340631,23604893,9.021328688524463,-0.001405916719845024,9.022734605244308
XX,2005,3394552,25961166,11.563512089876324,-0.009898278414166128,11.57341036829049
XX,2006,29639922,188297277,13.600212417156007,0.005764516816503473,13.594447900339503
XX,2007,19990723,86103023,18.842508398185885,-0.019190225075064404,18.86169862326095
XX,2008,3199590,13505672,19.15318658276656,-0.09659702325463826,19.249783606021197
XX,2009,4119504,19522511,17.424504637189344,-0.06040038630080957,17.484905023490153
XX,2010,7339512,32070521,18.623460680685042,-0.035620439853566666,18.65908112053861
XX,2011,10158150,39571037,20.42693760507285,-0.03904795414177897,20.46598555921463
XX,2012,11254853,42410402,20.972327439793215,0.017194074913344792,20.95513336487987
XX,2013,11728102,46299228,20.211341793599672,0.0475673970170476,20.163774396582625
XX,2014,13794201,62862036,17.994884095341128,0.04770198594383501,17.947182109397293
XX,2015,14831523,72488186,16.98530969680625,0.051302384967645054,16.934007311838606
XX,2016,14864276,77319989,16.124526241002194,0.07389362636038399,16.05063261464181
XX,2017,3082036,17472013,14.994787645003669,0.09430212221510992,14.900485522788559
