Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2000,AK,3038,26268,10.366477854364293,6.751565358868019
2000,AL,10384,163866,5.959253945480631,2.344341449984358
2000,AR,2561,72519,3.4110282365476827,-0.20388425894859052
2000,CA,25233,1607113,1.545811978587873,-2.0691005169084002
2000,CO,3225,48910,6.185863623285701,2.5709511277894275
2000,CT,6955,109710,5.961513735910513,2.34660124041424
2000,DC,763,26810,2.767199796902767,-0.8477126985935062
2000,DE,1192,32085,3.582053670703489,-0.03285882479278435
2000,FL,17832,430216,3.9799307217083886,0.3650182262121153
2000,GA,8375,273581,2.970321610464044,-0.6445908850322293
2000,HI,3140,30028,9.466956102267247,5.852043606770973
2000,IA,1899,42480,4.279050902453863,0.6641384069575902
2000,ID,1807,22345,7.481782047035441,3.866869551539168
2000,IL,7806,461009,1.6650491131896377,-1.9498633823066356
2000,IN,6924,147529,4.482917133367432,0.868004637871159
2000,KS,1200,58352,2.015045674368619,-1.5998668211276543
2000,KY,2788,278389,0.9915462502267256,-2.6233662452695476
2000,LA,2453,223627,1.0850141542816703,-2.529898341214603
2000,MA,13194,521422,2.4679396052493754,-1.1469728902468979
2000,MD,2061,48231,4.098067287043665,0.4831547915473915
2000,ME,8854,80482,9.910898182143816,6.295985686647542
2000,MI,3981,160432,2.4213413781148696,-1.1935711173814036
2000,MN,3216,76880,4.015181781861766,0.4002692863654924
2000,MO,9592,223192,4.1205581139597225,0.5056456184634492
2000,MS,634,82274,0.7647030443383027,-2.8502094511579705
2000,MT,3063,29827,9.312861051991487,5.697948556495213
2000,NC,37449,309466,10.794863295043454,7.17995079954718
2000,ND,325,13672,2.3219261270272202,-1.292986368469053
2000,NE,2195,72410,2.94216205348167,-0.6727504420146033
2000,NH,6051,67375,8.240950072181516,4.626037576685242
2000,NJ,13943,184790,7.015946018024183,3.4010335225279094
2000,NM,1547,25961,5.623818525519849,2.0089060300235757
2000,NV,2543,21348,10.64417563099075,7.029263135494476
2000,NY,11962,1134919,1.0430027178059451,-2.571909777690328
2000,OH,11330,475327,2.328128435427827,-1.2867840600684461
2000,OK,1715,61586,2.7092778945040363,-0.9056346009922369
2000,OR,6998,70743,9.001685082517591,5.3867725870213174
2000,PA,8237,176458,4.459785051030077,0.8448725555338039
2000,RI,1807,35368,4.86079354404842,1.2458810485521465
2000,SC,8051,115487,6.51702310220337,2.902110606707097
2000,SD,329,9600,3.3135260348474165,-0.30138646064885677
2000,TN,5746,157505,3.519733416640633,-0.09517907885564014
2000,TX,28013,590179,4.5314400703988404,0.9165275749025672
2000,UT,3853,47987,7.432484567901235,3.8175720724049618
2000,VA,14231,167334,7.83796436537879,4.223051869882516
2000,VT,741,6969,9.610894941634243,5.995982446137969
2000,WA,18643,220143,7.807409144589716,4.192496649093442
2000,WI,13116,139093,8.617098857492,5.002186361995726
2000,WV,3252,126528,2.5057790106333795,-1.1091334848628938
2000,WY,575,9971,5.4523041911625265,1.8373916956662533
2000,XX,362947,9620213,3.635592337496344,0.02067984200007089
