State,Narcotic,NonNarcotic
AK,11944,54973
AL,61621,317149
AR,17467,136552
CA,248365,2270506
CO,34627,185003
CT,41022,165515
DC,2834,49653
DE,10554,71462
FL,149416,878940
GA,110926,592078
HI,13592,42065
IA,28017,172373
ID,12301,70962
IL,120582,1015290
IN,80239,315945
KS,28226,135288
KY,49431,533567
LA,50656,452461
MA,126091,484168
MD,50088,188199
ME,62431,170835
MI,86594,387721
MN,26836,161602
MO,98747,549244
MS,26448,297725
MT,15194,50101
NC,190268,798481
ND,5613,22820
NE,14081,134025
NH,21972,79027
NJ,81653,409848
NM,2305,22986
NV,17987,65615
NY,149531,2528225
OH,237891,1114707
OK,33860,240652
OR,42926,90187
PA,95576,399242
RI,10123,60994
SC,76800,271871
SD,4291,29172
TN,359550,6500010
TX,109916,1831267
UT,26889,148364
VA,61821,256066
VT,6306,18088
WA,143572,430985
WI,82338,305291
WV,33076,250041
WY,4844,22852
XX,3394552,25961166
